#,Name,P,MP,GS,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,PF,DQ,Tech Fouls,teamId,opponentId,gameId
11.0,Kiylynn Dawkins,F,2:09,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,591849,591909,5729032
22.0,Alecia Doyle,G,19:57,,2,7,1,2,2,2,7,0,6,6,1,1,1,0,4,0,0,591849,591909,5729032
10.0,Chelby Koker,G,34:53,,5,6,5,6,3,4,18,0,9,9,9,11,1,0,2,0,0,591849,591909,5729032
2.0,Sidney McCrea,G,20:26,,1,9,1,7,4,6,7,1,2,3,3,0,0,0,3,0,0,591849,591909,5729032
32.0,Laura Nickel,G,34:51,,2,4,0,0,0,0,4,1,2,3,1,4,0,0,3,0,0,591849,591909,5729032
34.0,Brooke Stonebraker,F,35:04,,2,6,0,3,0,2,4,2,6,8,0,4,0,4,3,0,0,591849,591909,5729032
3.0,Nubia Benedith,G,27:58,,2,7,1,1,1,4,6,0,3,3,1,2,1,0,1,0,0,591909,591849,5729032
15.0,Uniyah Franklin,F,17:53,,1,2,0,0,0,4,2,1,3,4,0,2,0,0,3,0,0,591909,591849,5729032
0.0,Ashlyn Jones,F,22:57,,0,4,0,0,1,2,1,3,2,5,0,1,1,0,4,0,0,591909,591849,5729032
13.0,Dacia Jones,G,1:40,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591909,591849,5729032
34.0,Kamryn Jones,F,24:58,,5,10,0,0,1,2,11,5,2,7,2,2,3,1,4,0,0,591909,591849,5729032
20.0,Erica Lafayette,F,21:19,,3,10,0,1,0,0,6,0,3,3,0,1,1,0,0,0,0,591909,591849,5729032
1.0,Tamiah Robinson,G,37:00,,4,16,1,3,2,2,11,3,9,12,3,1,3,0,1,0,0,591909,591849,5729032
10.0,Aasia Sam,G,18:22,,0,4,0,0,1,2,1,1,0,1,0,1,0,0,3,0,0,591909,591849,5729032
4.0,Lanay Wheaton,G,27:54,,8,19,1,4,0,0,17,1,1,2,0,1,5,0,2,0,0,591909,591849,5729032
2.0,Abbie Draper,F,25:54,,2,9,1,2,5,6,10,4,4,8,1,0,0,0,5,1,0,591842,591984,5735690
12.0,Marisa Frost,G,24:13,,4,6,0,0,0,0,8,1,1,2,0,0,2,1,3,0,0,591842,591984,5735690
10.0,Abby Graham,G,31:39,,1,8,1,4,2,2,5,1,2,3,4,2,2,0,3,0,0,591842,591984,5735690
22.0,Avery Koenen,F,18:10,,5,10,0,0,3,4,13,4,5,9,0,2,2,0,4,0,0,591842,591984,5735690
40.0,Abby Krzewinski,G,27:23,,3,9,0,0,0,0,6,0,2,2,1,0,2,0,3,0,0,591842,591984,5735690
1.0,Molly Lenz,G,22:43,,4,10,2,4,0,0,10,1,3,4,1,1,0,0,5,1,0,591842,591984,5735690
3.0,Leah Mackenzie,G,5:49,,2,3,2,3,0,0,6,0,0,0,1,1,1,0,1,0,0,591842,591984,5735690
24.0,Abby Schulte,G,17:34,,3,4,0,0,3,5,9,0,0,0,2,2,1,0,3,0,0,591842,591984,5735690
32.0,Miriley Simon,F,10:47,,2,5,0,0,0,0,4,0,3,3,1,0,0,1,4,0,0,591842,591984,5735690
11.0,Claire Stern,F,15:48,,1,3,0,0,5,6,7,0,0,0,0,2,0,0,0,0,0,591842,591984,5735690
3.0,Abbie Aalsma,G,26:53,,4,6,3,4,1,1,12,2,1,3,3,1,1,0,1,0,0,591984,591842,5735690
32.0,Courtney Becker,F,25:34,,4,5,0,0,5,6,13,2,7,9,1,3,2,1,4,0,0,591984,591842,5735690
22.0,Brooklin Dailey,G,11:22,,1,5,0,1,3,4,5,0,1,1,0,1,0,0,0,0,0,591984,591842,5735690
10.0,Katie Dinnebier,G,32:39,,6,12,1,3,6,9,19,1,2,3,6,2,0,0,3,0,0,591984,591842,5735690
4.0,Shannon Fornshell,G,21:29,,2,6,0,2,0,0,4,0,0,0,1,1,0,1,1,0,0,591984,591842,5735690
30.0,Taedyn Gray,F,8:04,,1,1,0,0,0,0,2,0,1,1,0,1,0,0,1,0,0,591984,591842,5735690
21.0,Ava Hawthorne,G,19:12,,0,3,0,2,1,2,1,0,2,2,2,1,1,0,1,0,0,591984,591842,5735690
12.0,Ashley Iiams,F,6:05,,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,591984,591842,5735690
2.0,Grace Knutson,G,12:03,,0,5,0,4,4,4,4,2,2,4,1,0,0,0,1,0,0,591984,591842,5735690
11.0,Peyton McCabe,G,4:43,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,591984,591842,5735690
14.0,Anna Miller,F,28:39,,7,10,0,1,8,11,22,4,9,13,1,3,0,6,4,0,0,591984,591842,5735690
15.0,Maggie Taylor,F,3:17,,0,0,0,0,2,2,2,0,0,0,0,0,0,0,4,0,0,591984,591842,5735690
3.0,Jaelyn Glenn,G,28:43,,6,12,4,9,1,2,17,1,8,9,6,0,3,0,1,0,0,591781,592008,5722801
50.0,Ayoka Lee,C,9:35,,2,6,0,0,3,4,7,1,3,4,1,0,0,2,1,0,0,591781,592008,5722801
32.0,Imani Lester,F,14:01,,2,2,0,0,0,0,4,1,1,2,1,2,0,0,2,0,0,591781,592008,5722801
21.0,Eliza Maupin,F,15:38,,0,3,0,1,0,0,0,2,2,4,1,0,0,0,2,0,0,591781,592008,5722801
2.0,Temira Poindexter,F,26:38,,6,10,3,6,0,0,15,2,3,5,2,2,2,4,1,0,0,591781,592008,5722801
30.0,Gisela Sanchez,F,19:46,,3,6,0,1,2,2,8,0,3,3,1,2,1,0,0,0,0,591781,592008,5722801
11.0,Taryn Sides,G,20:07,,3,7,2,5,0,0,8,1,5,6,2,3,0,0,0,0,0,591781,592008,5722801
4.0,Serena Sundell,G,27:00,,5,8,2,4,0,0,12,2,0,2,3,0,1,1,1,0,0,591781,592008,5722801
12.0,Kennedy Taylor,F,16:25,,5,8,0,0,6,6,16,6,5,11,0,0,1,1,4,0,0,591781,592008,5722801
