,#,Name,P,MP,GS,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,PF,DQ,Tech Fouls,Team ID,Opponent ID,Game ID
10,,Radford,,200:00,1,23,49,7,13,10,14,63,10,22,32,12,21,10,3,9,0,0,561037,561223,3978312
12,,Winthrop,,200:00,1,22,52,7,19,4,6,55,8,18,26,10,21,12,2,17,0,0,561223,561037,3978312
12,,UNC Asheville,,225:00,1,23,56,4,17,14,17,64,4,25,29,13,15,5,1,24,1,0,560925,561223,3978821
11,,Winthrop,,225:00,1,23,56,7,15,17,23,70,11,29,40,9,19,6,0,21,0,0,561223,560925,3978821
11,,Winthrop,,200:00,1,20,55,4,13,10,18,54,13,19,32,8,18,7,3,15,0,0,561223,560609,3979752
11,,Charleston So.,,200:00,1,24,53,4,12,11,14,63,12,27,39,12,24,9,3,19,0,0,560609,561223,3979752
11,,High Point,,200:00,1,28,55,6,18,13,16,75,6,16,22,13,13,6,2,16,0,0,560554,561223,3980505
10,,Winthrop,,200:00,1,23,51,5,18,17,24,68,15,21,36,12,18,3,1,19,0,0,561223,560554,3980505
9,,Winthrop,,200:00,1,21,56,7,18,16,18,65,17,25,42,10,14,7,3,11,0,0,561223,560925,3981333
11,,UNC Asheville,,200:00,1,22,56,3,14,9,12,56,11,18,29,7,13,8,3,16,0,0,560925,561223,3981333
11,,Charleston So.,,200:00,1,24,47,3,11,14,16,65,6,28,34,13,19,3,2,19,0,0,560609,561223,3981687
12,,Winthrop,,200:00,1,18,51,4,16,10,19,50,9,16,25,8,17,7,0,21,0,1,561223,560609,3981687
11,,Winthrop,,200:00,1,19,60,6,18,11,15,55,16,29,45,10,21,12,5,18,0,0,561223,560848,3982344
11,,Longwood,,200:00,1,21,67,4,20,8,14,54,20,27,47,8,21,13,3,20,0,0,560848,561223,3982344
9,,Winthrop,,225:00,0,18,53,4,18,14,23,54,15,31,46,4,20,8,2,14,0,0,561223,561037,3982773
10,,Radford,,225:00,0,22,61,2,14,5,10,51,10,27,37,9,15,7,0,17,0,0,561037,561223,3982773
9,,USC Upstate,,200:00,1,22,57,6,22,11,11,61,13,23,36,16,14,5,2,18,0,0,560551,561223,3983817
9,,Winthrop,,200:00,1,24,58,7,19,12,18,67,15,22,37,8,11,8,3,18,0,0,561223,560551,3983817
12,,Winthrop,,225:00,1,19,59,3,13,23,26,64,14,27,41,8,15,4,1,21,1,0,561223,560554,3984191
10,,High Point,,225:00,1,22,47,9,18,12,21,65,1,29,30,9,16,4,0,22,1,0,560554,561223,3984191
9,,Radford,,200:00,1,21,47,6,16,16,22,64,7,23,30,10,15,6,4,15,0,0,561037,561223,5249226
9,,Winthrop,,200:00,1,17,56,4,22,13,17,51,16,23,39,8,19,8,5,18,0,0,561223,561037,5249226
10,,UNI,,200:00,1,27,59,11,27,13,16,78,11,22,33,18,14,6,3,15,0,0,560982,561225,3970188
11,,Green Bay,,200:00,1,27,61,2,21,11,16,67,14,23,37,15,13,6,2,18,0,0,561225,560982,3970188
12,,Green Bay,,200:00,1,32,62,12,28,12,12,88,12,22,34,23,7,5,3,21,1,0,561225,560803,3970853
13,,Illinois St.,,200:00,1,21,50,4,12,16,19,62,9,17,26,11,10,4,1,17,0,0,560803,561225,3970853
10,,Creighton,,200:00,1,18,52,6,26,11,17,53,14,15,29,11,15,4,0,20,0,0,560701,561225,3971655
10,,Green Bay,,200:00,1,24,44,6,12,11,12,65,4,22,26,18,15,6,1,16,0,0,561225,560701,3971655
12,,Green Bay,,200:00,1,29,56,10,24,17,22,85,7,30,37,15,8,13,0,14,0,0,561225,560880,3972677
9,,Massachusetts,,200:00,1,20,52,7,21,5,8,52,3,23,26,15,15,5,0,18,0,0,560880,561225,3972677
11,,Maryland,,200:00,1,21,63,1,11,25,29,68,16,41,57,11,13,3,2,18,1,0,560876,561225,3954608
10,,Green Bay,,200:00,1,22,70,4,28,11,12,59,6,27,33,18,6,5,3,23,1,0,561225,560876,3954608
10,,Green Bay,,200:00,1,23,54,8,19,5,6,59,7,26,33,15,13,6,1,9,0,0,561225,561203,3972842
11,,Washington St.,,200:00,1,18,52,5,23,7,10,48,5,21,26,12,11,4,4,11,0,0,561203,561225,3972842
